country1,country2,games,wins,looses,draws
Cameroon,Australia,1,0,0,1
Australia,Cameroon,1,0,0,1
Cameroon,Canada,1,1,0,0
Canada,Cameroon,1,0,1,0
Cameroon,Croatia,1,0,1,0
Croatia,Cameroon,1,1,0,0
Cameroon,Denmark,3,0.333333333,0.666666667,0
Denmark,Cameroon,3,0.666666667,0.333333333,0
Cameroon,England,4,0,0.75,0.25
England,Cameroon,4,0.75,0,0.25
Cameroon,Germany,4,0,0.75,0.25
Germany,Cameroon,4,0.75,0,0.25
Cameroon,Ghana,8,0.25,0.25,0.5
Ghana,Cameroon,8,0.25,0.25,0.5
Cameroon,Morocco,11,0.545454545,0.090909091,0.363636364
Morocco,Cameroon,11,0.090909091,0.545454545,0.363636364
Cameroon,Netherlands,3,0,0.666666667,0.333333333
Netherlands,Cameroon,3,0.666666667,0,0.333333333
Cameroon,Saudi Arabia,5,0.4,0.4,0.2
Saudi Arabia,Cameroon,5,0.4,0.4,0.2
Cameroon,Senegal,13,0.230769231,0.384615385,0.384615385
Senegal,Cameroon,13,0.384615385,0.230769231,0.384615385
Cameroon,Tunisia,19,0.473684211,0.157894737,0.368421053
Tunisia,Cameroon,19,0.157894737,0.473684211,0.368421053
Canada,Belgium,1,0,1,0
Belgium,Canada,1,1,0,0
Canada,Costa Rica,24,0.25,0.375,0.375
Costa Rica,Canada,24,0.375,0.25,0.375
Canada,Ecuador,3,0,0.666666667,0.333333333
Ecuador,Canada,3,0.666666667,0,0.333333333
Canada,England,1,0,1,0
England,Canada,1,1,0,0
Canada,France,1,0,1,0
France,Canada,1,1,0,0
Canada,Germany,2,0,1,0
Germany,Canada,2,1,0,0
Canada,Ghana,1,1,0,0
Ghana,Canada,1,0,1,0
Canada,Iran,3,0.333333333,0.666666667,0
Iran,Canada,3,0.666666667,0.333333333,0
Canada,Mexico,33,0.121212121,0.636363636,0.242424242
Mexico,Canada,33,0.636363636,0.121212121,0.242424242
Canada,Morocco,3,0,0.666666667,0.333333333
Morocco,Canada,3,0.666666667,0,0.333333333
Canada,Netherlands,1,0,1,0
Netherlands,Canada,1,1,0,0
Canada,Poland,6,0,1,0
Poland,Canada,6,1,0,0
Canada,Portugal,2,0,0.5,0.5
Portugal,Canada,2,0.5,0,0.5
Canada,Saudi Arabia,1,0,1,0
Saudi Arabia,Canada,1,1,0,0
Canada,South Korea,5,0.4,0.4,0.2
South Korea,Canada,5,0.4,0.4,0.2
Canada,Spain,2,0,1,0
Spain,Canada,2,1,0,0
Canada,Uruguay,1,0,1,0
Uruguay,Canada,1,1,0,0
Canada,Wales,3,0.333333333,0.666666667,0
Wales,Canada,3,0.666666667,0.333333333,0
Costa Rica,Cameroon,1,1,0,0
Cameroon,Costa Rica,1,0,1,0
Costa Rica,Ecuador,11,0.090909091,0.454545455,0.454545455
Ecuador,Costa Rica,11,0.454545455,0.090909091,0.454545455
Costa Rica,England,2,0,0.5,0.5
England,Costa Rica,2,0.5,0,0.5
Costa Rica,Japan,4,0,0.75,0.25
Japan,Costa Rica,4,0.75,0,0.25
Costa Rica,Mexico,53,0.113207547,0.528301887,0.358490566
Mexico,Costa Rica,53,0.528301887,0.113207547,0.358490566
Costa Rica,Poland,2,0,1,0
Poland,Costa Rica,2,1,0,0
Costa Rica,Qatar,1,0,0,1
Qatar,Costa Rica,1,0,0,1
Costa Rica,Saudi Arabia,4,0.75,0.25,0
Saudi Arabia,Costa Rica,4,0.25,0.75,0
Costa Rica,Serbia,1,0,1,0
Serbia,Costa Rica,1,1,0,0
Costa Rica,South Korea,9,0.333333333,0.444444444,0.222222222
South Korea,Costa Rica,9,0.444444444,0.333333333,0.222222222
Costa Rica,Spain,3,0,0.666666667,0.333333333
Spain,Costa Rica,3,0.666666667,0,0.333333333
Costa Rica,Uruguay,10,0.1,0.6,0.3
Uruguay,Costa Rica,10,0.6,0.1,0.3
Croatia,Denmark,7,0.428571429,0.285714286,0.285714286
Denmark,Croatia,7,0.285714286,0.428571429,0.285714286
Croatia,England,11,0.272727273,0.545454545,0.181818182
England,Croatia,11,0.545454545,0.272727273,0.181818182
Croatia,France,10,0.1,0.6,0.3
France,Croatia,10,0.6,0.1,0.3
Croatia,Germany,8,0.25,0.625,0.125
Germany,Croatia,8,0.625,0.25,0.125
Croatia,Iran,2,0.5,0,0.5
Iran,Croatia,2,0,0.5,0.5
Croatia,Mexico,6,0.666666667,0.333333333,0
Mexico,Croatia,6,0.333333333,0.666666667,0
Croatia,Netherlands,2,0.5,0.5,0
Netherlands,Croatia,2,0.5,0.5,0
Croatia,Poland,5,0.6,0.2,0.2
Poland,Croatia,5,0.2,0.6,0.2
Croatia,Portugal,7,0,0.857142857,0.142857143
Portugal,Croatia,7,0.857142857,0,0.142857143
Croatia,Qatar,1,1,0,0
Qatar,Croatia,1,0,1,0
Croatia,Senegal,1,1,0,0
Senegal,Croatia,1,0,1,0
Croatia,Serbia,5,0.4,0,0.6
Serbia,Croatia,5,0,0.4,0.6
Croatia,South Korea,7,0.428571429,0.285714286,0.285714286
South Korea,Croatia,7,0.285714286,0.428571429,0.285714286
Croatia,Spain,9,0.333333333,0.555555556,0.111111111
Spain,Croatia,9,0.555555556,0.333333333,0.111111111
Croatia,Switzerland,7,0.428571429,0.285714286,0.285714286
Switzerland,Croatia,7,0.285714286,0.428571429,0.285714286
Croatia,Tunisia,1,0,1,0
Tunisia,Croatia,1,1,0,0
Croatia,Wales,6,0.666666667,0,0.333333333
Wales,Croatia,6,0,0.666666667,0.333333333
Denmark,Canada,1,1,0,0
Canada,Denmark,1,0,1,0
Denmark,England,22,0.181818182,0.590909091,0.227272727
England,Denmark,22,0.590909091,0.181818182,0.227272727
Denmark,France,15,0.333333333,0.533333333,0.133333333
France,Denmark,15,0.533333333,0.333333333,0.133333333
Denmark,Germany,28,0.285714286,0.535714286,0.178571429
Germany,Denmark,28,0.535714286,0.285714286,0.178571429
Denmark,Ghana,1,1,0,0
Ghana,Denmark,1,0,1,0
Denmark,Iran,1,0,0,1
Iran,Denmark,1,0,0,1
Denmark,Japan,2,0.5,0.5,0
Japan,Denmark,2,0.5,0.5,0
Denmark,Mexico,5,0.4,0.2,0.4
Mexico,Denmark,5,0.2,0.4,0.4
Denmark,Netherlands,31,0.258064516,0.419354839,0.322580645
Netherlands,Denmark,31,0.419354839,0.258064516,0.322580645
